restaurant_name,name,rating,review
Restoran EKA RIA,love simple,5.0,"['good', 'place', 'nice', 'owner', 'help', 'staff', 'good', 'gener', 'make', 'event', 'recommend']"
Restoran EKA RIA,Michael Soetantyo,3.0,"['thu', 'restaur', 'skate', 'glori', 'past', 'vintag', 'chines', 'cuisin', 'popular', 'senior']"
Restoran EKA RIA,strong Yanthi,5.0,"['beauti', 'place', 'n', 'warm', 'wed', 'parti']"
Restoran EKA RIA,Hans Hon,5.0,"['delici', 'food', 'great', 'atmospher', 'nice', 'privat', 'room', 'karaok', 'facil']"
Restoran EKA RIA,DM Sumarli,4.0,"['salah', 'restaur', 'generasi', 'jadul', 'tast', 'wish', 'improv']"
Restoran EKA RIA,Dino Jackson,5.0,"['good', 'food', 'nice', 'ambianc']"
Restoran EKA RIA,Evan Huang,5.0,"['great', 'ambient', 'food']"
Restoran EKA RIA,Yudhie Andryanus Yu (余 维 康),4.0,"['one', 'famili', 'favorit', 'restaur', 'celebr', 'birthday', 'wed', 'reunion']"
Restoran EKA RIA,Sony Pangestu,5.0,"['old', 'gold', 'might', 'consid', 'fanci', 'restaur', 'nowaday', 'still', 'love', 'food', 'year']"
Restoran EKA RIA,Joffre Sudarmanto,5.0,"['good', 'place', 'staff', 'help', 'food', 'good']"
Restoran EKA RIA,Calvin Setiawan,4.0,"['memor', 'chines', 'food', 'restaur', 'think', 'ekaria', 'alreadi', 'exist', 'sinc', 'long', 'time', 'ago', 'hahahaha']"
Restoran EKA RIA,EH,5.0,"['tast', 'delici', 'food', 'especi', 'bird', 'menu', 'tasti']"
Restoran EKA RIA,Finn Art,4.0,"['famou', 'chines', 'restaur', 'china', 'town', 'hayam', 'wuruk', 'area']"
Restoran EKA RIA,aryani febriani,5.0,"['good', 'food', 'best', 'place', 'famili', 'gather']"
Restoran EKA RIA,Selvin Ariani,5.0,"['jam', 'line', 'danc']"
Restoran EKA RIA,eddie susanto,4.0,"['good', 'tast', 'place', 'park', 'lot', 'small']"
Restoran EKA RIA,Ferry Sutanto,3.0,"['vintag', 'chines', 'restaur', 'tast', 'great', 'tri', 'order', 'fri', 'pigeon']"
Restoran EKA RIA,Santy Wijaya,4.0,"['new', 'decor', 'nice', 'food']"
Restoran EKA RIA,Karvin Tjhin,5.0,"['food', 'good', 'n', 'place', 'birthday', 'n', 'marri', 'parti']"
Restoran EKA RIA,Tonny Tampi,4.0,"['food', 'ok', 'good', 'use']"
Restoran EKA RIA,Steven Louis,4.0,"['din', 'hall', 'glamour', 'food', 'good']"
Restoran EKA RIA,Adi Prasetya,5.0,"['best', 'place', 'famili', 'food', 'good']"
Restoran EKA RIA,Dave Hershey,5.0,"['build', 'old', 'food', 'nice']"
Restoran EKA RIA,Cristianto Chandra,5.0,"['good', 'servic', 'nice', 'food', 'atmospher']"
Restoran EKA RIA,Ng Sun Lie,5.0,"['nice', 'place', 'gather', 'simpli', 'famili', 'dinner']"
Restoran EKA RIA,Indra Simon,5.0,"['nice', 'place', 'great', 'food', 'big', 'aula']"
Restoran EKA RIA,Endrik Lie,5.0,"['chines', 'food', 'old', 'style', 'quit', 'food', 'good', 'expens']"
Restoran EKA RIA,Suryadi Hertanto,4.0,"['target', 'mid', 'market', 'segment', 'price', 'follow']"
Restoran EKA RIA,Vincent Saputra,3.0,"['noisi', 'food', 'tast', 'averag']"
Restoran EKA RIA,Valentina W. Amanda,5.0,"['good', 'food', 'good', 'ambienc', 'easi', 'access', 'main', 'road']"
Restoran EKA RIA,edi tsui,2.0,"['restaur', 'need', 'renov', 'asap', 'food', 'also', 'need', 'improv']"
Restoran EKA RIA,Peter Sumali,5.0,"['old', 'restaur', 'yet', 'food', 'authent', 'yummi']"
Restoran EKA RIA,Len Ng,2.0,"['old', 'school', 'indo', 'chines', 'food', 'old', 'school', 'high', 'price']"
Restoran EKA RIA,DR.Yohan Purnawan,5.0,"['nice', 'place', 'good', 'tast']"
Restoran EKA RIA,Bung Kusi,3.0,"['one', 'good', 'chines', 'restaur', 'still', 'surviv', 'old', 'era']"
Restoran EKA RIA,Anwar Arif,4.0,"['nice', 'danc', 'floor']"
Restoran EKA RIA,Vicky Wen,3.0,"['think', 'didnt', 'turn', 'ac']"
Restoran EKA RIA,yulianto sung,3.0,"['old', 'restoran', 'tast', 'delici']"
Restoran EKA RIA,Tirta Lie,5.0,"['one', 'legend', 'chines', 'restaur', 'jakarta']"
Restoran EKA RIA,Imam Gunawan,4.0,"['wed', 'dec', 'everlast', 'moment']"
Restoran EKA RIA,Raja localwebninja,4.0,"['good', 'food', 'interest', 'design']"
Restoran EKA RIA,Neea 1st,5.0,['ok']
Restoran EKA RIA,vision Laserman,4.0,"['cozi', 'delici', 'food', 'non', 'halal']"
Restoran EKA RIA,David Honasan,4.0,"['chines', 'food', 'quit', 'good']"
Restoran EKA RIA,Mikael Michael,5.0,"['good', 'place', 'eat', 'chines', 'food']"
Restoran EKA RIA,Daniel Prijatna,5.0,"['nice', 'place', 'good', 'food']"
Restoran EKA RIA,Anton Suryajaya,4.0,"['good', 'hall', 'wed', 'meet', 'etc']"
Restoran EKA RIA,HF,3.0,"['kind', 'old', 'fashion', 'food']"
Restoran EKA RIA,Antoni Jusuf Widyanto,4.0,"['makanannya', 'oldi', 'good']"
Restoran EKA RIA,Kaleb Juliu,3.0,"['food', 'pretti', 'bad', 'fresh']"
Restoran EKA RIA,tika desi,4.0,"['conveni', 'place', 'tight', 'place', 'park']"
Restoran EKA RIA,Hendra Sulaiman,5.0,"['best', 'danc', 'place', 'countri']"
Restoran EKA RIA,Agustian Chia,5.0,"['tabl', 'perform']"
Restoran EKA RIA,FeLi,4.0,"['good', 'place', 'famili', 'gather']"
Restoran EKA RIA,Selvi Tan,3.0,"['come', 'sinc', 'childhood', 'year']"
Restoran EKA RIA,Tony Sudjana gofur,4.0,"['exc', 'chines', 'resto']"
Restoran EKA RIA,BENNY SALY,4.0,"['nice', 'place', 'danc']"
Restoran EKA RIA,Siusian Khu,3.0,['good']
Restoran EKA RIA,Suwandy Wijaya,5.0,['good']
Restoran EKA RIA,Burstono Lunardi,5.0,"['old', 'school', 'chines', 'food', 'must', 'visit']"
Restoran EKA RIA,Marcel Kumontoy,4.0,"['old', 'school', 'chines', 'restaur', 'jakarta']"
Restoran EKA RIA,Dyal Suadyal,4.0,"['free', 'park', 'avail', 'basement']"
Restoran EKA RIA,Hardi Supianto,5.0,"['good', 'food']"
Restoran EKA RIA,David Thomas,4.0,"['good', 'restaur', 'wed']"
Restoran EKA RIA,Kusuma Budi Hartono,5.0,"['privat', 'room', 'fam']"
Restoran EKA RIA,danny chen,5.0,"['must', 'tri', 'nice', 'banget']"
Restoran EKA RIA,Ahmed Bakori,3.0,"['wed', 'steven', 'petti']"
Restoran EKA RIA,Toby Rorimpandey,5.0,"['ballroomd', 'fun', 'great', 'ambianc']"
Restoran EKA RIA,Harianto Komil,4.0,"['nice', 'food']"
Restoran EKA RIA,Gadget Apa,4.0,"['nice', 'food']"
Restoran EKA RIA,Yohanes J H,4.0,"['nice', 'food']"
Restoran EKA RIA,Kastono Halim Salim,5.0,"['nice', 'pigeon', 'butter', 'sauc']"
Restoran EKA RIA,Ming Wijono,3.0,"['often', 'time', 'use', 'wed', 'parti']"
Restoran EKA RIA,Handry Carlos,5.0,"['food', 'good']"
Restoran EKA RIA,Arifin Djakasaputra,4.0,"['limit', 'park', 'area']"
Restoran EKA RIA,Andreas Andi Mahardi,3.0,"['old', 'chines', 'tast', 'restaur']"
Restoran EKA RIA,jimmy tannoto,5.0,"['fri', 'dumpl', 'best']"
Restoran EKA RIA,Tony Giat,4.0,"['nice', 'chines', 'restaur']"
Restoran EKA RIA,Roesli Roesli,4.0,"['old', 'school', 'chines', 'food', 'restaur']"
Restoran EKA RIA,Julianto Zhen,3.0,[]
Restoran EKA RIA,Richa Tan,5.0,['nice']
Restoran EKA RIA,may Rachmanto,5.0,['ok']
Restoran EKA RIA,Piyo Agency,3.0,['ok']
Restoran EKA RIA,Dadan Ramdani,3.0,['top']
Restoran EKA RIA,Hendra Kusumawi,5.0,"['great', 'restaur']"
Restoran EKA RIA,Nicholas Lewier,5.0,['top']
Restoran EKA RIA,Eiril Sofjial,5.0,"['great', 'restaur']"
Restoran EKA RIA,Lie Lie Wen,1.0,['enjoy']
Restoran EKA RIA,Muliawan Sulaiman,4.0,['nice']
Restoran EKA RIA,Ana Li,5.0,['nice']
Restoran EKA RIA,Ferry Ferdinand,3.0,"['food', 'okay']"
Restoran EKA RIA,Sahathy Permadi,4.0,"['restaur', 'variou', 'event']"
Restoran EKA RIA,Michael Wibawa,5.0,['nice']
Restoran EKA RIA,Iga jambose,4.0,['nice']
Restoran EKA RIA,Bobby,5.0,"['nice', 'food']"
Restoran EKA RIA,KENNY NATHANIEL,5.0,['good']
Restoran EKA RIA,Amsyar Alviansyah,5.0,['good']
Restoran EKA RIA,Kenny Hartono,3.0,"['qualiti', 'mediocr']"
Restoran EKA RIA,Jeniver Tanuwijaya,5.0,['nice']
Restoran EKA RIA,Chris ruddy,4.0,"['nice', 'dinner']"
Restoran EKA RIA,robbin tanudibrata,4.0,"['food', 'good', 'enaugh']"
Restoran EKA RIA,Sudirman Halim,4.0,"['histor', 'restaur']"
Restoran EKA RIA,lauw bing,3.0,"['old', 'fashion']"
Restoran EKA RIA,Hendra Kusuma,5.0,['tappmantappp']
Restoran EKA RIA,Dixie Xie,5.0,"['first', 'time', 'get', 'celebr', 'dad', 'birthday', 'place', 'famili', 'chines', 'restaur', 'good', 'ambienc', 'elderli', 'posit', 'thing', 'lift', 'reach', 'restaur', 'area', 'take', 'famili', 'member', 'wheelcair', 'easili', 'nice', 'clean', 'place', 'excel', 'servic', 'great', 'food', 'tast', 'uniqu', 'signatur', 'menu', 'found', 'resto', 'tip', 'trick', 'make', 'sure', 'reserv', 'get', 'otherwis', 'wait', 'peopl', 'finish', 'take', 'min', 'peak', 'hour', 'limit', 'park', 'lot', 'better', 'come', 'earlier', 'arriv', 'peak', 'hour', 'lunch', 'dinner', 'readi', 'plan', 'b', 'park', 'car', 'order', 'small', 'size', 'sate', 'shanghai', 'k', 'bakmi', 'ulang', 'tahun', 'k', 'burung', 'dara', 'jit', 'lok', 'joen', 'k', 'pocai', 'cah', 'k', 'angsio', 'tahu', 'k', 'lindung', 'cah', 'fumak', 'k', 'get', 'back', 'sure', 'tri', 'nasi', 'mani', 'avail', 'today', 'today', 'oct', 'promo', 'discount', 'post', 'stori', 'reel', 'post', 'tag', 'follow', 'eka', 'ria', 'instagram']"
Restoran EKA RIA,Cherie,5.0,"['nostalg', 'place', 'go', 'surprisingli', 'delici', 'food', 'chang', 'sinc', 'last', 'visit', 'year', 'ago', 'food', 'qualiti', 'alway', 'great', 'consist', 'year', 'place', 'also', 'spaciou', 'event', 'serv', 'excel', 'food', 'valu', 'restaur', 'give', 'someth', 'would', 'make', 'come', 'back', 'park', 'best', 'get', 'earlier', 'event', 'restaur', 'would', 'hog', 'park', 'space', 'first']"
Restoran EKA RIA,Winda Verfida,4.0,"['review', 'ig', 'jkt', 'one', 'thing', 'got', 'tri', 'also', 'chat', 'directli', 'chef', 'turn', 'chines', 'food', 'call', 'cantones', 'cuisin', 'cook', 'process', 'take', 'longer', 'simpl', 'usual', 'chines', 'food', 'that', 'pay', 'attent', 'menu', 'quit', 'uniqu', 'one', 'differ', 'chines', 'food', 'restaur', 'overal', 'good', 'term', 'tast', 'ingredi', 'textur', 'realli', 'worth', 'tri', 'typic', 'food', 'good', 'bodi', 'also', 'soul']"
Restoran EKA RIA,Risnawan Muliadi,4.0,"['delici', 'chines', 'food', 'legendari', 'restaur', 'jakarta', 'angtomi', 'noodl', 'eka', 'ria', 'signatur', 'crab', 'soup', 'must', 'tri', 'two', 'flavor', 'carp', 'shanghai', 'spring', 'roll', 'delici', 'dish', 'directli', 'cook', 'master', 'chef', 'also', 'owner', 'third', 'gener', 'servic', 'good', 'waitress', 'alway', 'readi', 'help', 'even', 'park', 'attend', 'restaur', 'elderli', 'disabl', 'friendli', 'provid', 'lift', 'special', 'toilet', 'wheelchair', 'user', 'everi', 'wednesday', 'friday', 'danc', 'activ', 'ballroom', 'danc', 'floor']"
Restoran EKA RIA,Keith Family Story,5.0,"['legendari', 'restaur', 'super', 'friendli', 'servic', 'spaciou', 'park', 'lot', 'usual', 'hall', 'wed', 'also', 'spaciou', 'floor', 'privat', 'room', 'outdoor', 'good', 'food', 'clean', 'toilet', 'full', 'video', 'restaur', 'atmospher', 'youtub', 'keith', 'famili', 'stori', 'hope', 'help', 'alway', 'success', 'eka', 'ria', 'restaur']"
Restoran EKA RIA,Ichen Hidayat,5.0,"['nice', 'experi', 'eka', 'ria', 'restaur', 'vip', 'room', 'peopl', 'free', 'karaok', 'heart', 'content', 'hour', 'employe', 'kind', 'polit', 'servic', 'great', 'chines', 'food', 'success', 'alway', 'healthi', 'ci']"
Restoran EKA RIA,Jessica C,4.0,"['cah', 'rock', 'frog', 'opinion', 'menu', 'must', 'order', 'frog', 'meat', 'big', 'soft', 'type', 'sauc', 'thick', 'cook', 'red', 'wine', 'smell', 'realli', 'good', 'addit', 'frog', 'menu', 'also', 'piec', 'mushroom', 'onion', 'make', 'even', 'delici', 'angtomi', 'noodl', 'actual', 'ordinari', 'boil', 'noodl', 'uniqu', 'sauc', 'use', 'thick', 'red', 'sauc', 'mixtur', 'crab', 'meat', 'tast', 'sweet', 'savori', 'even', 'though', 'look', 'plain', 'tast', 'quit', 'good', 'scallion', 'smell', 'better', 'shrimp', 'spring', 'roll', 'hallmark', 'menu', 'kietna', 'sauc', 'type', 'orang', 'sauc', 'textur', 'crispi', 'soft', 'middl']"
Restoran EKA RIA,Anthony Steven Hambali,5.0,"['restaur', 'long', 'histori', 'start', 'cuisin', 'cantones', 'style', 'chef', 'third', 'gener', 'lucki', 'get', 'chanc', 'talk', 'chef', 'know', 'cook', 'heart', 'special', 'dish', 'must', 'order', 'advanc']"
Restoran EKA RIA,Ir The One,4.0,"['come', 'jam', 'lined', 'time', 'alreadi', 'endem', 'park', 'wide', 'nice', 'danc', 'floor', 'toilet', 'clean', 'disinfect', 'period', 'maintain', 'pray', 'direct', 'park', 'basement', 'corner', 'inadequ', 'emerg', 'lack', 'hygien', 'friendli', 'staff', 'immedi', 'roll', 'build', 'plastic', 'sheet', 'base', 'grate', 'place', 'pray', 'hope', 'futur', 'facil', 'like', 'paid', 'attent', 'presenc', 'gener', 'public', 'especi', 'event', 'greet', 'healthi', 'alway', 'success']"
Restoran EKA RIA,Wintomo Tjandra,5.0,"['ekaria', 'restaur', 'provid', 'chines', 'food', 'larg', 'space', 'support', 'park', 'tea', 'drink', 'refil', 'much', 'like', 'food', 'provid', 'divers', 'chicken', 'beef', 'veget', 'soup', 'pork', 'highli', 'recommend', 'want', 'dine', 'famili', 'larg', 'number', 'peopl']"
Restoran EKA RIA,Vitriah_Hayden William,5.0,"['pandem', 'big', 'tabl', 'contain', 'chair', 'karaok', 'food', 'still', 'delici', 'suggest', 'make', 'place', 'custom', 'prayer', 'fix', 'okay']"
Restoran EKA RIA,J Honanda,5.0,"['butter', 'fri', 'stone', 'frog', 'sweet', 'sour', 'guram', 'gundur', 'soup', 'hai', 'koi', 'sweet', 'rice', 'jit', 'lok', 'joen']"
Restoran EKA RIA,tommy kwok,4.0,"['elementari', 'school', 'reunion', 'vi', 'book', 'vip', 'room', 'karaok', 'maximum', 'seat', 'dine', 'tabl', 'use', 'tabl', 'order', 'gohiong', 'food', 'salt', 'chicken', 'protect', 'ca', 'fumak', 'fri', 'noodl', 'fri', 'frog', 'fresh', 'fruit', 'good', 'food', 'good', 'servic', 'park', 'space', 'limit', 'ye', 'cost', 'million']"
Medja Restaurant,pepperidge farm,4.0,"['love', 'interior', 'detail', 'select', 'theme', 'spectacular', 'food', 'good', 'sinc', 'got', 'restrict', 'diet', 'menu', 'quit', 'limit', 'food', 'spici', 'use', 'coconut', 'milk', 'eat', 'time', 'howev', 'steak', 'well', 'made', 'tender', 'sauc', 'point', 'definit', 'go', 'back', 'tri', 'cuisin']"
Medja Restaurant,Evelyne Theresia,4.0,"['tast', 'ok', 'price', 'ok', 'lot', 'menu', 'kid', 'menu', 'also', 'servic', 'great', 'fast', 'locat', 'easi', 'find', 'smoke', 'outdoor', 'area', 'non', 'smoke', 'indoor', 'area', 'tabl', 'limit', 'better', 'book', 'first', 'weekend', 'wait', 'long', 'time', 'get', 'tabl', 'last', 'time', 'come', 'queue', 'sign', 'full', 'car', 'enter', 'place']"
