name,rating,review
Brahmanto Anindito,4.0,"['wife', 'daughter', 'superior', 'deluxe', 'room', 'hotel', 'located', 'main', 'street', 'pretty', 'noisy', 'bright', 'side', 'near', 'everywhere', 'good', 'hospitality', 'office', 'boy', 'receptionist', 'security', 'also', 'love', 'swimming', 'pool', 'cozy', 'ambiance', 'crowded', 'week', 'days', 'week', 'end', 'water', 'crystal', 'unfortunately', 'one', 'meter', 'deep']"
Hendra Septa,4.0,"['good', 'hotels', 'center', 'town', 'simpang', 'lima', 'hospitality', 'clean', 'cozy', 'room', 'tasty', 'breakfast', 'swimming', 'pool', 'deep', 'big', 'location', 'strategic', 'near', 'every', 'favorite', 'spot']"
Arsita Mutaqin,5.0,"['good', 'service', 'yummy', 'food', 'cleaning', 'room']"
bazz beto,3.0,"['room', 'clean', 'good', 'price', 'rate', 'breakfast', 'expectation', 'adding', 'western', 'food', 'menu', 'great', 'tiny', 'size', 'swimming', 'pool', 'free', 'valet', 'parking']"
Mawar Kusumawardani,5.0,"['nice', 'hotel', 'nice', 'friendly', 'staffs', 'located', 'strategically', 'surrounded', 'places', 'store', 'would', 'sufficient', 'tourist', 'room', 'cozy', 'bed', 'comfortable', 'pool', 'cute']"
Bismi Rakasiwi,4.0,"['rooms', 'pretty', 'nice', 'big', 'windows', 'fast', 'internet', 'good', 'shower', 'staff', 'friendly', 'pool', 'big', 'never', 'busy', 'also', 'variety', 'options', 'breakfast', 'usually', 'aerobic', 'class', 'every', 'monday', 'gym', 'however', 'lights', 'quite', 'right', 'room', 'dark', 'night', 'kinda', 'depressing', 'beds', 'comfy', 'hard', 'time', 'fall', 'asleep']"
Cia,4.0,"['like', 'interior', 'hotel', 'feels', 'traditional', 'aromatic', 'inside', 'building', 'relaxing', 'nice', 'service', 'except', 'thing', 'corner', 'basement', 'parking', 'area', 'kind', 'machine', 'sounds', 'loud', 'stinks', 'much', 'smells', 'soo', 'good', 'got', 'headache', 'smelling', 'hope', 'maintain', 'place', 'problem', 'u', 'park', 'car', 'machine', 'located', 'near', 'motorcycle', 'parking', 'area', 'thank']"
arief kas,5.0,"['hotel', 'tua', 'yg', 'nyaman', 'di', 'semarang', 'cuma', 'berjarak', 'dari', 'simpang', 'lima', 'breakfast', 'standard', 'n', 'less', 'variety', 'taste', 'standard', 'get', 'pay', 'good', 'short', 'trip', 'coz', 'nearby', 'pusat', 'oleh', 'n', 'food', 'centre']"
Fadhil Hidayat,3.0,"['strategic', 'location', 'breakfast', 'menu', 'tasty', 'quite', 'varied', 'room', 'nice', 'cupboard', 'cable', 'tv', 'refrigerator', 'however', 'many', 'mosquitoes', 'room', 'especially', 'rd', 'floor', 'near', 'swimming', 'pool', 'dirty', 'slimy', 'slippery', 'swimming', 'pool', 'small', 'lobby', 'car', 'port', 'small', 'parking', 'lot', 'decor', 'rather', 'outdated']"
Tegar Andito,4.0,"['old', 'looking', 'hotel', 'good', 'breakfast']"
Sivvis (Sivvis),4.0,"['good', 'hotel', 'good', 'price', 'much', 'free', 'breakfast', 'ok', 'better', 'many', 'hotels', 'price', 'range', 'waterpressure', 'bit', 'low', 'bed', 'good', 'tv', 'enough', 'channel', 'keep', 'entertained', 'stayed', 'night']"
Crisopras “YΛVL” Kainama,5.0,"['read', 'knowing', 'millions', 'people', 'around', 'world', 'would', 'watching', 'person', 'television', 'expecting', 'great', 'things', 'least', 'one', 'gold', 'medal', 'america', 'another', 'world', 'record', 'fourth', 'surely', 'last', 'appearance', 'world', 'olympics', 'realizing', 'legs', 'could', 'longer', 'carry', 'runway', 'blazing', 'speed', 'confidence', 'making', 'huge', 'eye', 'popping', 'leap', 'capable', 'years', 'ago', 'set', 'world', 'records', 'meter', 'dash', 'meter', 'relay', 'silver', 'medal', 'long', 'jump', 'renowned', 'sprinter', 'track', 'field', 'personality', 'carl', 'lewis', 'known', 'pressure', 'fans', 'media', 'never', 'even', 'professional', 'runner', 'kind', 'pressure', 'madeonly', 'appearances', 'races', 'months', 'summer', 'olympics', 'atlanta', 'georgia', 'partly', 'afraid', 'raising', 'expectations', 'even', 'higher', 'want', 'distracted', 'interviews', 'adoring', 'fans', 'would', 'follow', 'stores', 'restaurants', 'demanding', 'autographs', 'photo', 'opportunities', 'mostly', 'wanted', 'conserve', 'energies', 'concentrate', 'like', 'martial', 'arts', 'expert', 'job', 'hand', 'winning', 'favorite', 'competition', 'long', 'jump', 'bringing', 'home', 'another', 'gold', 'medal', 'united', 'states', 'fitting', 'conclusion', 'brilliant', 'career', 'track', 'field']"
Agus Wahyuadianto,5.0,"['second', 'visit', 'cheap', 'clean', 'still', 'best', 'features', 'cramped', 'parking', 'lot', 'compensated', 'skillful', 'free', 'charge', 'vallet', 'service', 'tried', 'gym', 'pool', 'breakfast', 'though', 'might', 'revise', 'review', 'later']"
RASHEED PUTRANTO,3.0,"['ok', 'hotel', 'else', 'expect', 'old', 'hotel', 'really', 'much', 'going', 'swimming', 'pool', 'tried', 'though', 'food', 'also', 'ok', 'rating', 'much', 'option', 'food']"
Joko Christian,4.0,"['good', 'old', 'hotel', 'clean', 'bathrooms', 'adequate', 'facilities', 'wifi', 'good', 'breakfast', 'good', 'gym', 'swimming', 'pool', 'good', 'layout', 'somewhat', 'limited', 'parking', 'lot', 'long', 'hallways', 'needs', 'traveled', 'lobby', 'passenger', 'elevator', 'rooms', 'located', 'city', 'center', 'far', 'simpang', 'lima', 'min', 'car', 'minutes', 'walk', 'photos', 'attached', 'swimming', 'pool', 'family', 'room', 'seperate', 'beds']"
Rizca Nur Afivtya Puteri,4.0,"['like', 'hotel', 'compact', 'clean', 'comfortable', 'swimming', 'pool', 'th', 'floor', 'elevator', 'back', 'hotel', 'time', 'know', 'used', 'front', 'elevator', 'ended', 'entering', 'really', 'dark', 'hall', 'smh', 'overall', 'fine']"
Nora Valk,2.0,"['first', 'came', 'pandanaran', 'years', 'ago', 'fell', 'love', 'room', 'picked', 'hotel', 'via', 'google', 'location', 'come', 'back', 'ever', 'year', 'either', 'alone', 'w', 'family', 'members', 'number', 'one', 'staff', 'thoughtful', 'helpful', 'kind', 'almost', 'like', 'family', 'unfortunately', 'hotel', 'needs', 'alot', 'renovations', 'important', 'additons', 'safety', 'older', 'people', 'nr', 'hand', 'railing', 'front', 'entrance', 'steps', 'nr', 'hand', 'railings', 'swimming', 'pool', 'first', 'two', 'years', 'tv', 'stations', 'international', 'cnn', 'bbc', 'abc', 'etc', 'completely', 'local', 'good', 'breakfast', 'best', 'tradtional', 'international', 'clean', 'sheets', 'towels', 'daily', 'however', 'look', 'necessary', 'renovations', 'rooms', 'bathrooms', 'hallways', 'swimming', 'pool', 'thank', 'pak', 'gunawan', 'ibu', 'restu', 'ibu', 'ira', 'fell', 'rushed', 'personally', 'clinic', 'checked', 'given', 'medication', 'care', 'hope', 'come', 'back', 'sampai', 'jumpa']"
Vicky Sabadius,3.0,"['old', 'hotel', 'moderate', 'room', 'clean', 'good', 'food', 'good', 'location', 'nice', 'staff']"
budi mega prasetyo,4.0,"['value', 'money', 'family', 'weekend', 'among', 'cheapest', 'rate', 'family', 'room', 'strategic', 'location', 'spend', 'weekend', 'center', 'semarang', 'lucky', 'walk', 'morning', 'join', 'semarang', 'car', 'free', 'day', 'sunday', 'old', 'fasility', 'need', 'upgrade', 'restaurant', 'need', 'light']"
Gio Taufan (Disgiovery),3.0,"['old', 'hotels', 'comfy', 'nice', 'atmosphere', 'pandanaran', 'hotel', 'feels', 'like', 'bit', 'jam', 'packed', 'hotel', 'restaurant', 'get', 'really', 'crowded', 'breakfast', 'time', 'group', 'suggest', 'try', 'nasi', 'branjangan', 'specially', 'provided', 'hotel', 'prior', 'order', 'like', 'nasi', 'liwet', 'style', 'get', 'together', 'traditional', 'feast', 'room', 'stayed', 'really', 'nice', 'cityscape', 'hotel', 'window']"
E.A.P.,5.0,"['like', 'vibes', 'hotel', 'spacious', 'clean', 'room', 'reasonable', 'price', 'licated', 'city', 'center', 'near', 'simpang', 'lima', 'friendly', 'staff', 'even', 'called', 'make', 'sure', 'room', 'arrive', 'room', 'upgraded', 'larger', 'one', 'thank', 'much']"
Matze Ko,4.0,"['pandanaran', 'hotel', 'scores', 'central', 'location', 'kind', 'staff', 'pool', 'clean', 'rooms', 'even', 'newest', 'anymore', 'pool', 'located', 'less', 'roof', 'top', 'rd', 'floor', 'opening', 'hours', 'quite', 'long', 'pm', 'furthermore', 'rent', 'scooter', 'think', 'less', 'private', 'rental', 'hotel', 'employee', 'easy', 'cheap', 'idr', 'hours', 'recommended', 'stay', 'semarang']"
key,3.0,"['first', 'look', 'hotel', 'think', 'hotel', 'fancy', 'go', 'receptionist', 'would', 'know', 'hotel', 'mess', 'ornaments', 'hotel', 'disorganized', 'fact', 'felt', 'really', 'insecure', 'looks', 'kinda', 'creepy', 'room', 'also', 'smells', 'funny', 'many', 'things', 'already', 'broken', 'really', 'mind', 'hope', 'fix', 'problem', 'asap']"
amelia safitri,4.0,"['great', 'place', 'stay', 'heart', 'semarang', 'city', 'simpang', 'lima', 'offered', 'rooms', 'connecting', 'doors', 'super', 'friendly', 'helpful', 'staff', 'bad', 'stat', 'long', 'semarang', 'definitely', 'worth', 'staying', 'quite', 'affordable', 'price']"
Steffani Sylvia Tan,4.0,"['spacious', 'bed', 'great', 'bathroom', 'great', 'families', 'good', 'food', 'especially', 'breakfast', 'variety', 'menu', 'strategic', 'location', 'would', 'stay']"
daniel tambunan,5.0,"['location', 'facility', 'hospitality', 'expectation', 'well', 'could', 'perfect', 'breakfast', 'menu', 'option']"
Christina Syah,5.0,"['book', 'room', 'hotel', 'traveloka', 'first', 'time', 'staying', 'family', 'vacation', 'booked', 'superior', 'room', 'checked', 'staff', 'said', 'upgraded', 'room', 'become', 'deluxe', 'service', 'okey', 'also', 'swimming', 'pool', 'children', 'pool', 'though', 'wide', 'still', 'okey', 'breakfast', 'menu', 'many', 'varieties', 'love', 'taste', 'overall', 'hotel', 'strategic', 'main', 'road', 'pandanaran', 'near', 'also', 'toko', 'oleh', 'oleh', 'pandanaran']"
Sekti Wicaksono,5.0,"['great', 'location', 'great', 'room', 'amazing', 'servicesrooms', 'service', 'location']"
Jawoto Setyono,5.0,"['one', 'oldest', 'hotels', 'town']"
Demina Sitepu,5.0,"['good', 'hotel', 'classrooms', 'service', 'location']"
Cornellia Widiastuti,5.0,"['great', 'hotel', 'price', 'little', 'bit', 'higher', 'competitors', 'breakfast', 'okay', 'little', 'bit', 'outdated', 'reason', 'giving', 'stars', 'excellent', 'staffs', 'accidentally', 'left', 'book', 'ibu', 'novi', 'helped', 'shipping', 'book', 'kudos']"
Josse Luca,4.0,"['clean', 'comfy', 'hotel', 'affodable', 'price']"
